warning: `VIRTUAL_ENV=/home/s.nanako/nanoGPT/.venv` does not match the project environment path `.venv` and will be ignored
/home/s.nanako/nanogpt/.venv/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
/home/s.nanako/nanogpt/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
wandb: Currently logged in as: nac-39 (nac-39-nagoya-univ-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zvlytfeh
wandb: Tracking run with wandb version 0.22.3
wandb: Run data is saved locally in /home/s.nanako/nanogpt/wandb/run-20251110_184521-zvlytfeh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no-ffn-gpt2_1762767916.4742754
wandb: ⭐️ View project at https://wandb.ai/nac-39-nagoya-univ-/no-ffn-gpt2
wandb: 🚀 View run at https://wandb.ai/nac-39-nagoya-univ-/no-ffn-gpt2/runs/zvlytfeh
Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py
import time

wandb_log = True
# wandb_project = 'owt'
# wandb_run_name='gpt2-124M'
wandb_project = "no-ffn-gpt2"
wandb_run_name = "no-ffn-gpt2" + "_" + str(time.time())
# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.58M
num decayed parameter tensors: 62, with 124,354,560 parameters
num non-decayed parameter tensors: 13, with 9,984 parameters
iter 620: loss 5.7453, time 5163.61ms, mfu 26.05%
iter 630: loss 5.8187, time 5156.86ms, mfu 26.06%
iter 640: loss 5.8495, time 5197.11ms, mfu 26.04%
iter 650: loss 5.6280, time 5194.12ms, mfu 26.03%
iter 660: loss 5.5872, time 5176.49ms, mfu 26.03%
iter 670: loss 5.8551, time 5170.96ms, mfu 26.03%
iter 680: loss 5.7958, time 5226.62ms, mfu 26.00%
iter 690: loss 5.7749, time 5159.05ms, mfu 26.01%
iter 700: loss 5.8547, time 5157.99ms, mfu 26.02%
iter 710: loss 5.6572, time 5176.73ms, mfu 26.02%
iter 720: loss 5.3375, time 5160.92ms, mfu 26.03%
iter 730: loss 5.7489, time 5179.62ms, mfu 26.02%
iter 740: loss 5.5139, time 5161.64ms, mfu 26.03%
iter 750: loss 5.4482, time 5147.80ms, mfu 26.04%
iter 760: loss 5.8936, time 5196.91ms, mfu 26.03%
iter 770: loss 5.4456, time 5155.86ms, mfu 26.04%
iter 780: loss 5.3745, time 5160.59ms, mfu 26.04%
iter 790: loss 5.6431, time 5156.97ms, mfu 26.05%
iter 800: loss 5.5362, time 5170.07ms, mfu 26.05%
iter 810: loss 5.7104, time 5235.95ms, mfu 26.02%
iter 820: loss 5.5207, time 5166.05ms, mfu 26.02%
iter 830: loss 5.5920, time 5150.33ms, mfu 26.03%
iter 840: loss 5.5190, time 5138.80ms, mfu 26.05%
iter 850: loss 5.5028, time 5149.71ms, mfu 26.06%
iter 860: loss 5.5515, time 5146.52ms, mfu 26.07%
iter 870: loss 5.3815, time 5153.45ms, mfu 26.08%
iter 880: loss 5.6268, time 5150.79ms, mfu 26.08%
iter 890: loss 5.6005, time 5167.79ms, mfu 26.08%
iter 900: loss 5.4868, time 5160.75ms, mfu 26.08%
iter 910: loss 5.3180, time 5136.74ms, mfu 26.09%
iter 920: loss 5.3473, time 5128.70ms, mfu 26.11%
iter 930: loss 5.3860, time 5160.00ms, mfu 26.11%
iter 940: loss 5.4751, time 5143.12ms, mfu 26.12%
iter 950: loss 5.4460, time 5146.19ms, mfu 26.12%
iter 960: loss 5.2419, time 5173.99ms, mfu 26.11%
iter 970: loss 5.2121, time 5146.28ms, mfu 26.12%
iter 980: loss 5.2567, time 5152.08ms, mfu 26.12%
iter 990: loss 5.5411, time 5132.51ms, mfu 26.13%
step 1000: train loss 5.3112, val loss 5.2914
saving checkpoint to out
iter 1000: loss 5.3625, time 31118.90ms, mfu 23.95%
iter 1010: loss 5.3076, time 5141.99ms, mfu 24.17%
iter 1020: loss 5.4148, time 5152.03ms, mfu 24.37%
iter 1030: loss 5.0452, time 5157.38ms, mfu 24.54%
iter 1040: loss 5.2353, time 5166.83ms, mfu 24.70%
iter 1050: loss 5.2880, time 5151.27ms, mfu 24.84%
iter 1060: loss 5.2404, time 5138.88ms, mfu 24.98%
iter 1070: loss 5.3717, time 5141.13ms, mfu 25.10%
iter 1080: loss 5.4214, time 5137.81ms, mfu 25.21%
iter 1090: loss 5.0939, time 5135.86ms, mfu 25.31%
iter 1100: loss 5.0930, time 5156.15ms, mfu 25.39%
iter 1110: loss 5.2304, time 5151.73ms, mfu 25.46%
iter 1120: loss 4.9670, time 5153.33ms, mfu 25.53%
iter 1130: loss 5.1009, time 5161.46ms, mfu 25.59%
iter 1140: loss 5.0350, time 5145.31ms, mfu 25.64%
iter 1150: loss 4.9203, time 5129.97ms, mfu 25.71%
iter 1160: loss 4.9655, time 5128.10ms, mfu 25.76%
iter 1170: loss 5.0358, time 5131.27ms, mfu 25.81%
iter 1180: loss 5.1027, time 5121.00ms, mfu 25.86%
iter 1190: loss 5.0878, time 5141.69ms, mfu 25.89%
iter 1200: loss 5.0926, time 5144.68ms, mfu 25.92%
iter 1210: loss 5.2277, time 5150.73ms, mfu 25.94%
iter 1220: loss 4.9964, time 5156.32ms, mfu 25.96%
iter 1230: loss 5.1020, time 5135.62ms, mfu 25.98%
iter 1240: loss 5.1135, time 5129.78ms, mfu 26.01%
iter 1250: loss 4.9172, time 5120.83ms, mfu 26.04%
iter 1260: loss 5.0552, time 5125.78ms, mfu 26.06%
iter 1270: loss 4.9437, time 5140.13ms, mfu 26.08%
iter 1280: loss 5.1196, time 5133.88ms, mfu 26.09%
iter 1290: loss 5.0331, time 5154.75ms, mfu 26.09%
iter 1300: loss 5.0102, time 5140.14ms, mfu 26.10%
iter 1310: loss 4.9845, time 5153.45ms, mfu 26.11%
iter 1320: loss 5.0357, time 5164.79ms, mfu 26.10%
iter 1330: loss 4.9984, time 5139.12ms, mfu 26.11%
iter 1340: loss 4.9470, time 5204.95ms, mfu 26.09%
iter 1350: loss 4.8705, time 5139.04ms, mfu 26.10%
iter 1360: loss 4.9905, time 5113.06ms, mfu 26.12%
iter 1370: loss 4.8873, time 5096.85ms, mfu 26.15%
iter 1380: loss 4.8395, time 5113.71ms, mfu 26.17%
iter 1390: loss 4.8796, time 5126.19ms, mfu 26.18%
iter 1400: loss 4.6885, time 5131.10ms, mfu 26.19%
iter 1410: loss 4.8262, time 5145.34ms, mfu 26.18%
iter 1420: loss 4.8932, time 5137.08ms, mfu 26.19%
iter 1430: loss 4.8078, time 5126.71ms, mfu 26.20%
iter 1440: loss 4.7519, time 5127.73ms, mfu 26.20%
iter 1450: loss 4.7308, time 5085.53ms, mfu 26.23%
iter 1460: loss 4.6661, time 5062.05ms, mfu 26.27%
iter 1470: loss 4.8122, time 5055.37ms, mfu 26.30%
iter 1480: loss 4.9082, time 5050.07ms, mfu 26.34%
iter 1490: loss 4.7921, time 5034.39ms, mfu 26.38%
iter 1500: loss 4.7511, time 5029.63ms, mfu 26.42%
iter 1510: loss 4.7352, time 5045.67ms, mfu 26.45%
iter 1520: loss 4.9836, time 5058.44ms, mfu 26.46%
iter 1530: loss 4.6428, time 5087.07ms, mfu 26.46%
iter 1540: loss 4.6339, time 5102.74ms, mfu 26.46%
iter 1550: loss 4.4826, time 5102.97ms, mfu 26.45%
iter 1560: loss 4.6465, time 5122.83ms, mfu 26.43%
iter 1570: loss 4.4507, time 5118.46ms, mfu 26.42%
iter 1580: loss 4.5936, time 5123.10ms, mfu 26.41%
iter 1590: loss 4.6554, time 5127.24ms, mfu 26.39%
iter 1600: loss 4.5229, time 5149.34ms, mfu 26.37%
iter 1610: loss 4.6376, time 5138.73ms, mfu 26.35%
iter 1620: loss 4.7131, time 5134.40ms, mfu 26.34%
iter 1630: loss 4.7236, time 5127.42ms, mfu 26.33%
iter 1640: loss 4.6513, time 5092.77ms, mfu 26.34%
iter 1650: loss 4.4553, time 5090.67ms, mfu 26.35%
iter 1660: loss 4.4967, time 5109.44ms, mfu 26.35%
iter 1670: loss 4.4232, time 5120.07ms, mfu 26.35%
iter 1680: loss 4.5141, time 5123.19ms, mfu 26.34%
iter 1690: loss 4.4257, time 5123.22ms, mfu 26.33%
iter 1700: loss 4.3844, time 5134.34ms, mfu 26.32%
iter 1710: loss 4.4206, time 5137.20ms, mfu 26.31%
iter 1720: loss 4.3886, time 5136.95ms, mfu 26.30%
iter 1730: loss 4.5899, time 5135.65ms, mfu 26.29%
iter 1740: loss 4.5936, time 5130.48ms, mfu 26.29%
iter 1750: loss 4.4595, time 5146.18ms, mfu 26.28%
iter 1760: loss 4.4228, time 5130.76ms, mfu 26.27%
iter 1770: loss 4.4016, time 5200.72ms, mfu 26.24%
iter 1780: loss 4.3249, time 5190.54ms, mfu 26.21%
iter 1790: loss 4.3662, time 5128.76ms, mfu 26.21%
iter 1800: loss 4.2310, time 5137.53ms, mfu 26.21%
iter 1810: loss 4.3542, time 5142.97ms, mfu 26.21%
iter 1820: loss 4.3426, time 5120.66ms, mfu 26.22%
iter 1830: loss 4.4811, time 5114.38ms, mfu 26.23%
iter 1840: loss 4.5560, time 5122.36ms, mfu 26.23%
iter 1850: loss 4.3889, time 5120.61ms, mfu 26.24%
iter 1860: loss 4.4855, time 5134.21ms, mfu 26.24%
iter 1870: loss 4.1920, time 5135.16ms, mfu 26.24%
iter 1880: loss 4.1436, time 5147.80ms, mfu 26.23%
iter 1890: loss 4.3378, time 5155.15ms, mfu 26.22%
iter 1900: loss 4.3914, time 5134.34ms, mfu 26.22%
iter 1910: loss 4.3146, time 5154.23ms, mfu 26.21%
iter 1920: loss 4.2047, time 5126.84ms, mfu 26.21%
iter 1930: loss 4.1467, time 5094.87ms, mfu 26.24%
iter 1940: loss 4.3498, time 5074.69ms, mfu 26.27%
iter 1950: loss 4.2591, time 5067.15ms, mfu 26.30%
iter 1960: loss 4.4186, time 5092.61ms, mfu 26.31%
iter 1970: loss 4.0995, time 5101.66ms, mfu 26.32%
iter 1980: loss 4.2703, time 5118.15ms, mfu 26.32%
iter 1990: loss 4.2112, time 5130.91ms, mfu 26.31%
step 2000: train loss 4.2653, val loss 4.2593
saving checkpoint to out
iter 2000: loss 4.3243, time 31045.17ms, mfu 24.11%
iter 2010: loss 4.3140, time 5121.31ms, mfu 24.33%
iter 2020: loss 4.1896, time 5122.80ms, mfu 24.53%
iter 2030: loss 4.2869, time 5124.79ms, mfu 24.70%
iter 2040: loss 4.2200, time 5089.17ms, mfu 24.88%
iter 2050: loss 4.3200, time 5093.02ms, mfu 25.03%
iter 2060: loss 3.9280, time 5101.76ms, mfu 25.17%
iter 2070: loss 4.2160, time 5112.39ms, mfu 25.29%
iter 2080: loss 4.2815, time 5121.80ms, mfu 25.39%
iter 2090: loss 4.2607, time 5137.11ms, mfu 25.47%
iter 2100: loss 4.2895, time 5127.63ms, mfu 25.55%
iter 2110: loss 4.1121, time 5138.40ms, mfu 25.61%
iter 2120: loss 3.9794, time 5124.80ms, mfu 25.68%
iter 2130: loss 4.2545, time 5133.10ms, mfu 25.73%
iter 2140: loss 4.1366, time 5101.37ms, mfu 25.80%
iter 2150: loss 4.1255, time 5074.32ms, mfu 25.87%
iter 2160: loss 4.0238, time 5089.48ms, mfu 25.93%
iter 2170: loss 4.0279, time 5100.47ms, mfu 25.98%
iter 2180: loss 4.1921, time 5111.91ms, mfu 26.02%
iter 2190: loss 4.1006, time 5118.01ms, mfu 26.04%
iter 2200: loss 4.0489, time 5130.64ms, mfu 26.06%
iter 2210: loss 4.0763, time 5125.49ms, mfu 26.09%
iter 2220: loss 4.0417, time 5128.71ms, mfu 26.10%
iter 2230: loss 4.2330, time 5120.95ms, mfu 26.12%
iter 2240: loss 4.2372, time 5109.45ms, mfu 26.14%
iter 2250: loss 4.0908, time 5131.11ms, mfu 26.15%
iter 2260: loss 4.1873, time 5139.18ms, mfu 26.16%
iter 2270: loss 4.1758, time 5147.75ms, mfu 26.16%
iter 2280: loss 4.2648, time 5159.63ms, mfu 26.15%
iter 2290: loss 4.1969, time 5143.47ms, mfu 26.16%
iter 2300: loss 4.0728, time 5140.92ms, mfu 26.16%
iter 2310: loss 4.1263, time 5138.68ms, mfu 26.16%
iter 2320: loss 4.1857, time 5091.11ms, mfu 26.19%
iter 2330: loss 3.9541, time 5092.75ms, mfu 26.22%
iter 2340: loss 4.0092, time 5098.11ms, mfu 26.24%
iter 2350: loss 4.1986, time 5103.73ms, mfu 26.25%
iter 2360: loss 4.2009, time 5113.62ms, mfu 26.26%
iter 2370: loss 4.1032, time 5131.35ms, mfu 26.26%
iter 2380: loss 4.1348, time 5111.92ms, mfu 26.27%
iter 2390: loss 4.1792, time 5121.66ms, mfu 26.27%
iter 2400: loss 3.9242, time 5104.19ms, mfu 26.28%
iter 2410: loss 4.0481, time 5078.20ms, mfu 26.30%
iter 2420: loss 4.0236, time 5091.89ms, mfu 26.32%
iter 2430: loss 3.9078, time 5100.63ms, mfu 26.33%
iter 2440: loss 4.0344, time 5122.07ms, mfu 26.32%
iter 2450: loss 4.0841, time 5106.93ms, mfu 26.33%
iter 2460: loss 3.9458, time 5136.54ms, mfu 26.31%
iter 2470: loss 3.7606, time 5139.55ms, mfu 26.30%
iter 2480: loss 3.9102, time 5110.92ms, mfu 26.31%
iter 2490: loss 3.8977, time 5117.52ms, mfu 26.31%
iter 2500: loss 3.8272, time 5026.97ms, mfu 26.36%
iter 2510: loss 3.9580, time 5116.75ms, mfu 26.35%
iter 2520: loss 3.8391, time 5123.96ms, mfu 26.34%
iter 2530: loss 3.8263, time 5123.06ms, mfu 26.34%
iter 2540: loss 3.8420, time 5139.73ms, mfu 26.32%
iter 2550: loss 3.8204, time 5167.51ms, mfu 26.30%
iter 2560: loss 3.9255, time 5132.92ms, mfu 26.29%
iter 2570: loss 4.0291, time 5126.82ms, mfu 26.29%
iter 2580: loss 4.0235, time 5125.12ms, mfu 26.29%
iter 2590: loss 3.8424, time 5113.15ms, mfu 26.29%
iter 2600: loss 3.9072, time 5122.56ms, mfu 26.29%
iter 2610: loss 3.8406, time 5144.77ms, mfu 26.28%
iter 2620: loss 3.8403, time 5156.25ms, mfu 26.26%
iter 2630: loss 3.9674, time 5152.10ms, mfu 26.25%
iter 2640: loss 3.9802, time 5132.07ms, mfu 26.25%
iter 2650: loss 3.8730, time 5131.06ms, mfu 26.25%
iter 2660: loss 3.8819, time 5114.94ms, mfu 26.26%
iter 2670: loss 4.1378, time 5075.12ms, mfu 26.28%
iter 2680: loss 4.0340, time 5084.35ms, mfu 26.30%
iter 2690: loss 3.8578, time 5099.21ms, mfu 26.31%
iter 2700: loss 4.0134, time 5096.97ms, mfu 26.32%
iter 2710: loss 3.9799, time 5103.21ms, mfu 26.33%
iter 2720: loss 3.9456, time 5111.64ms, mfu 26.33%
iter 2730: loss 3.9220, time 5125.50ms, mfu 26.33%
iter 2740: loss 4.1033, time 5118.00ms, mfu 26.32%
iter 2750: loss 4.0114, time 5130.16ms, mfu 26.32%
iter 2760: loss 3.9172, time 5126.72ms, mfu 26.31%
iter 2770: loss 3.8179, time 5104.53ms, mfu 26.32%
iter 2780: loss 3.9700, time 5063.04ms, mfu 26.35%
iter 2790: loss 3.8276, time 5049.64ms, mfu 26.38%
iter 2800: loss 3.8531, time 5074.05ms, mfu 26.39%
iter 2810: loss 3.7938, time 5086.33ms, mfu 26.40%
iter 2820: loss 3.8245, time 5105.48ms, mfu 26.40%
iter 2830: loss 3.8915, time 5101.47ms, mfu 26.40%
iter 2840: loss 3.9047, time 5107.19ms, mfu 26.39%
iter 2850: loss 3.8139, time 5118.68ms, mfu 26.39%
iter 2860: loss 3.8979, time 5125.98ms, mfu 26.37%
iter 2870: loss 3.6275, time 5112.75ms, mfu 26.37%
iter 2880: loss 3.8910, time 5107.51ms, mfu 26.37%
iter 2890: loss 3.8242, time 5098.56ms, mfu 26.37%
iter 2900: loss 3.7638, time 5072.77ms, mfu 26.39%
iter 2910: loss 3.8458, time 5076.41ms, mfu 26.40%
iter 2920: loss 3.8753, time 5101.36ms, mfu 26.40%
iter 2930: loss 3.8088, time 5109.81ms, mfu 26.40%
iter 2940: loss 3.6725, time 5112.00ms, mfu 26.39%
iter 2950: loss 3.8589, time 5109.60ms, mfu 26.39%
iter 2960: loss 3.9410, time 5110.92ms, mfu 26.38%
iter 2970: loss 3.7515, time 5105.00ms, mfu 26.38%
iter 2980: loss 3.6945, time 5106.07ms, mfu 26.38%
iter 2990: loss 3.9436, time 5117.29ms, mfu 26.37%
step 3000: train loss 3.8211, val loss 3.8247
saving checkpoint to out
iter 3000: loss 3.9822, time 30854.93ms, mfu 24.17%
iter 3010: loss 4.0399, time 5119.00ms, mfu 24.39%
iter 3020: loss 3.8655, time 5134.32ms, mfu 24.57%
iter 3030: loss 3.8745, time 5117.25ms, mfu 24.75%
iter 3040: loss 3.9852, time 5099.03ms, mfu 24.91%
iter 3050: loss 3.4159, time 5115.17ms, mfu 25.05%
iter 3060: loss 3.7132, time 5137.97ms, mfu 25.17%
iter 3070: loss 3.8839, time 5077.61ms, mfu 25.30%
iter 3080: loss 3.7506, time 5084.73ms, mfu 25.42%
iter 3090: loss 3.9378, time 5103.61ms, mfu 25.52%
iter 3100: loss 3.7406, time 5106.44ms, mfu 25.60%
iter 3110: loss 3.9760, time 5112.51ms, mfu 25.68%
iter 3120: loss 3.8652, time 5112.70ms, mfu 25.74%
iter 3130: loss 3.6500, time 5111.84ms, mfu 25.80%
iter 3140: loss 3.8476, time 5098.43ms, mfu 25.86%
iter 3150: loss 3.8352, time 5079.00ms, mfu 25.93%
iter 3160: loss 3.7841, time 5086.06ms, mfu 25.98%
iter 3170: loss 3.7302, time 5087.52ms, mfu 26.03%
iter 3180: loss 3.6975, time 5098.25ms, mfu 26.07%
iter 3190: loss 3.7600, time 5106.63ms, mfu 26.10%
iter 3200: loss 3.9027, time 5109.18ms, mfu 26.12%
iter 3210: loss 3.8455, time 5118.86ms, mfu 26.14%
iter 3220: loss 3.9917, time 5119.73ms, mfu 26.16%
iter 3230: loss 3.7104, time 5112.29ms, mfu 26.18%
iter 3240: loss 3.7304, time 5120.98ms, mfu 26.19%
iter 3250: loss 3.8091, time 5115.61ms, mfu 26.20%
iter 3260: loss 3.7304, time 5114.64ms, mfu 26.21%
iter 3270: loss 3.9818, time 5114.54ms, mfu 26.23%
iter 3280: loss 3.7560, time 5119.50ms, mfu 26.23%
iter 3290: loss 3.6685, time 5121.34ms, mfu 26.24%
iter 3300: loss 3.3796, time 5110.47ms, mfu 26.25%
iter 3310: loss 3.7429, time 5098.87ms, mfu 26.27%
iter 3320: loss 3.7292, time 5096.11ms, mfu 26.28%
iter 3330: loss 4.0283, time 5070.17ms, mfu 26.31%
iter 3340: loss 3.7891, time 5087.05ms, mfu 26.32%
iter 3350: loss 3.6444, time 5095.21ms, mfu 26.33%
iter 3360: loss 3.7608, time 5103.05ms, mfu 26.34%
iter 3370: loss 3.9742, time 5117.78ms, mfu 26.34%
iter 3380: loss 3.6851, time 5114.89ms, mfu 26.34%
iter 3390: loss 3.4626, time 5114.39ms, mfu 26.34%
iter 3400: loss 3.8177, time 5118.38ms, mfu 26.33%
iter 3410: loss 3.6434, time 5129.42ms, mfu 26.32%
iter 3420: loss 3.7899, time 5106.57ms, mfu 26.33%
iter 3430: loss 3.5568, time 5132.87ms, mfu 26.32%
iter 3440: loss 3.4806, time 5121.12ms, mfu 26.32%
iter 3450: loss 3.6209, time 5134.73ms, mfu 26.31%
iter 3460: loss 3.7352, time 5122.83ms, mfu 26.30%
iter 3470: loss 3.6218, time 5119.22ms, mfu 26.30%
iter 3480: loss 3.7634, time 5111.09ms, mfu 26.31%
iter 3490: loss 3.6394, time 5126.55ms, mfu 26.30%
iter 3500: loss 3.6618, time 5105.32ms, mfu 26.31%
iter 3510: loss 3.6988, time 5139.20ms, mfu 26.30%
iter 3520: loss 3.7460, time 5135.73ms, mfu 26.29%
